PDB	chain	mean_entropy	mean_KL
1B4T	A	1.2012656287	0.346680463026
1CI0	A	1.5602054427	0.513882752075
1EFV	B	1.39680825397	0.353977863714
1G58	B	1.54965849962	0.414118816413
1GV3	A	1.46275417987	0.3532500516
1HUJ	A	1.26908570348	0.38755630318
1HUR	A	1.68174732529	0.475442778374
1IBS	A	1.45830152411	0.356126963462
1JLW	A	1.50391230017	0.423291296551
1KY2	A	1.42784962727	0.401793236757
1KZL	A	1.41204756309	0.391654501092
1M3U	A	1.29212107566	0.400458184946
1MOZ	A	1.60378326261	0.442522435029
1OKC	A	1.44757888088	0.509780844262
1PV1	A	1.29601047698	0.383043582849
1QMV	A	1.50478681169	0.429514317526
1R6M	A	1.46481131603	0.451854887341
1RII	A	1.06556020211	0.496316965486
1V9S	B	1.60202212603	0.309130397311
1W7W	B	1.38488063154	0.400571709351
1X1O	B	1.30589777402	0.313854458942
1XTD	A	1.55177466126	0.409791375713
1YPI	A	1.55271451742	0.448675142784
1YSB	A	1.32234962583	0.42711228722
1ZNN	A	1.37937258719	0.506825583511
1ZWK	A	1.4529874063	0.401816527755
2A84	A	1.44292413323	0.497299476135
2AIU	A	1.9711284771	0.610574781606
2BCG	Y	1.41047326789	0.414349136226
2BR9	A	1.410937943	0.503620410707
2CFE	A	1.20539270871	0.400562098268
2CJM	C	1.59537861726	0.514155073701
2CNV	A	1.44246170159	0.476332957338
2ESF	A	1.63196722228	0.445089133834
2EU8	A	1.60966243056	0.580915198342
2FLI	A	1.5153258526	0.390909040505
2G0N	B	1.6335059291	0.509333654319
2GV5	D	1.37097543384	0.308009987358
